left,right,checkpoint,metric,wins,ties,losses,difference,base_bootstrap_95,win_ids,loss_ids
A,B,2,G,0,32,0,0,"[0.0, 0.0]",[],[]
A,B,2,S,0,32,0,0,"[0.0, 0.0]",[],[]
A,B,4,G,2,30,0,0.0625,"[0.0, 0.15625]","[""sampling-01"", ""sampling-04""]",[]
A,B,4,S,2,30,0,0.0625,"[0.0, 0.15625]","[""sampling-01"", ""sampling-09""]",[]
A,B,8,G,0,28,4,-0.125,"[-0.25, -0.03125]",[],"[""sampling-12"", ""sampling-17"", ""sampling-25"", ""sampling-28""]"
A,B,8,S,1,30,1,0,"[-0.09375, 0.09375]","[""sampling-20""]","[""sampling-17""]"
C,A,2,G,0,32,0,0,"[0.0, 0.0]",[],[]
C,A,2,S,0,32,0,0,"[0.0, 0.0]",[],[]
C,A,4,G,0,30,2,-0.0625,"[-0.15625, 0.0]",[],"[""sampling-01"", ""sampling-04""]"
C,A,4,S,0,30,2,-0.0625,"[-0.15625, 0.0]",[],"[""sampling-01"", ""sampling-04""]"
C,A,8,G,0,30,2,-0.0625,"[-0.15625, 0.0]",[],"[""sampling-01"", ""sampling-04""]"
C,A,8,S,0,29,3,-0.09375,"[-0.21875, 0.0]",[],"[""sampling-01"", ""sampling-04"", ""sampling-20""]"
C,B,2,G,0,32,0,0,"[0.0, 0.0]",[],[]
C,B,2,S,0,32,0,0,"[0.0, 0.0]",[],[]
C,B,4,G,0,32,0,0,"[0.0, 0.0]",[],[]
C,B,4,S,1,30,1,0,"[-0.09375, 0.09375]","[""sampling-09""]","[""sampling-04""]"
C,B,8,G,0,26,6,-0.1875,"[-0.34375, -0.0625]",[],"[""sampling-01"", ""sampling-04"", ""sampling-12"", ""sampling-17"", ""sampling-25"", ""sampling-28""]"
C,B,8,S,0,29,3,-0.09375,"[-0.21875, 0.0]",[],"[""sampling-01"", ""sampling-04"", ""sampling-17""]"
